RowNumber,CustomerId,Surname,CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited,Complain,Satisfaction Score,Card Type,Point Earned,Gender_Encoded,Geography_France,Geography_Germany,Geography_Spain,CardType_Encoded,Age_Tenure_Interaction,Salary_Balance_Ratio,Credit_Age_Interaction,Age_Squared,CreditScore_Squared,Tenure_Squared,Age_Group,CreditScore_Category,Has_Balance,Active_Months,Complain_With_Low_Satisfaction,Tenure_Group,CreditScore_StandardScaled,Age_StandardScaled,Tenure_StandardScaled,Balance_StandardScaled,EstimatedSalary_StandardScaled,Point Earned_StandardScaled,Age_Tenure_Interaction_StandardScaled,Salary_Balance_Ratio_StandardScaled,Credit_Age_Interaction_StandardScaled,Age_Squared_StandardScaled,CreditScore_Squared_StandardScaled,Tenure_Squared_StandardScaled,Active_Months_StandardScaled,CreditScore_MinMaxScaled,Age_MinMaxScaled,Tenure_MinMaxScaled,Balance_MinMaxScaled,EstimatedSalary_MinMaxScaled,Point Earned_MinMaxScaled,Age_Tenure_Interaction_MinMaxScaled,Salary_Balance_Ratio_MinMaxScaled,Credit_Age_Interaction_MinMaxScaled,Age_Squared_MinMaxScaled,CreditScore_Squared_MinMaxScaled,Tenure_Squared_MinMaxScaled,Active_Months_MinMaxScaled
1,15634602,Hargrave,619,France,Female,42,2,0.0,1,1,1,101348.88,1,1,2,DIAMOND,464,0,True,False,False,0,84,101348.88,25998,1764,383161,4,36-45,Fair,0,2,1,New,-0.3262214220367463,0.2935174228967471,-1.0417596792253108,-1.2258476714090278,0.021886493995386117,-0.6308391179267365,-0.8661055482022336,1.113164534965293,0.08670926589566233,0.14753212176470695,-0.39298429486147224,-0.9806745936361185,-0.16774838722130514,0.5379999999999999,0.3243243243243243,0.2,0.0,0.5067348931822989,0.39160045402951194,0.09545454545454544,0.5067634540735375,0.2823837633481462,0.1769041769041769,0.43443499999999996,0.04,0.2
2,15647311,Hill,608,Spain,Female,41,1,83807.86,1,0,1,112542.58,0,1,3,DIAMOND,456,0,False,False,True,0,41,1.3428482382411597,24928,1681,369664,1,36-45,Fair,1,1,0,New,-0.4400359548576657,0.1981638321954454,-1.3875375865624426,0.11735002143511059,0.21653375188734025,-0.6662508949483567,-1.2022174085384674,-0.6080173176648116,-0.04927698011503945,0.05950731480224638,-0.5004252911512627,-1.0804312659848354,-0.4777620394506622,0.5159999999999999,0.3108108108108108,0.1,0.334031478677259,0.5627087386845444,0.38251986379114644,0.046590909090909086,6.714022598601133e-06,0.2646415069310871,0.1667076167076167,0.41194000000000003,0.01,0.1
3,15619304,Onio,502,France,Female,42,8,159660.8,3,1,0,113931.57,1,1,3,DIAMOND,377,0,True,False,False,0,336,0.7135806435853786,21084,1764,252004,64,36-45,Poor,1,0,0,Loyal,-1.536794180222889,0.2935174228967471,1.03290776479748,1.3330533457228904,0.24068690006348814,-1.0159421930368553,1.1036662844659269,-0.6080280044954423,-0.5378107461572241,0.14753212176470695,-1.4370414001722858,1.0144588533382175,-0.7877756916800193,0.30399999999999994,0.3243243243243243,0.8,0.6363571759354565,0.5696543519906151,0.2928490351872872,0.3818181818181818,3.567566317083926e-06,0.20090203621410097,0.1769041769041769,0.21583999999999998,0.64,0.0
4,15701354,Boni,699,France,Female,39,1,0.0,2,0,0,93826.63,0,0,5,GOLD,350,0,True,False,False,1,39,93826.63,27261,1521,488601,1,36-45,Good,0,0,0,New,0.5015206348426676,0.0074566507928420294,-1.3875375865624426,-1.2258476714090278,-0.10891791702847127,-1.1354569404848232,-1.217850518321548,0.985414413405267,0.2472238721681075,-0.11017906006514748,0.4463561992331791,-1.0804312659848354,-0.7877756916800193,0.6980000000000001,0.2837837837837838,0.1,0.0,0.46912005096486714,0.2622020431328036,0.04431818181818182,0.46915078981964436,0.30332625853949724,0.14705159705159704,0.6101683333333334,0.01,0.0
5,15737888,Mitchell,850,Spain,Female,43,2,125510.82,1,1,1,79084.1,0,0,5,GOLD,425,0,False,False,True,1,86,0.6300928470322557,36550,1849,722500,4,36-45,Excellent,1,2,0,New,2.063883767202561,0.38887101359804876,-1.0417596792253108,0.7857278997960591,-0.36527578251440274,-0.8034715309071345,-0.850472438419153,-0.6080294223659144,1.4277624134703588,0.23767800841300993,2.3082767438864877,-0.9806745936361185,-0.16774838722130514,0.9999999999999999,0.3378378378378379,0.2,0.5002462155052676,0.3954003607344502,0.3473325766174802,0.09772727272727272,3.150111637825732e-06,0.4573522584068449,0.18734643734643733,1.0,0.04,0.2
6,15574012,Chu,645,Spain,Male,44,8,113755.78,2,1,0,149756.71,1,1,5,DIAMOND,484,1,False,False,True,0,352,1.3164640384511586,28380,1936,416025,64,36-45,Fair,1,0,0,Loyal,-0.05720525355093678,0.48422460429935044,1.03290776479748,0.5973285944410414,0.8636502870218095,-0.5423096753726862,1.2287311627305721,-0.6080177657467992,0.38943752570640217,0.32994497474715534,-0.13137498152757027,1.0144588533382175,-0.7877756916800193,0.59,0.35135135135135137,0.8,0.45339436422174445,0.7487971601287922,0.41430192962542567,0.39999999999999997,6.582096639172909e-06,0.3218810108111693,0.198034398034398,0.4892083333333333,0.64,0.0
7,15592531,Bartlett,822,France,Male,50,7,0.0,2,1,1,10062.8,0,0,2,SILVER,206,1,True,False,False,3,350,10062.8,41100,2500,675684,49,46-55,Excellent,0,7,0,Loyal,1.7741740472947665,1.0563461485071606,0.6871298574603482,-1.2258476714090278,-1.5654872211931183,-1.7728689268739852,1.2130980529474915,-0.4371439255004252,2.0060216838896983,0.9280894461547187,1.9356044698772388,0.5156754915946334,1.38231987392548,0.9440000000000001,0.4324324324324324,0.7000000000000001,0.0,0.050260899915941966,0.09875141884222474,0.3977272727272727,0.050315891430175695,0.5327983020494793,0.2673218673218673,0.9219733333333333,0.49,0.7000000000000001
8,15656148,Obinna,376,Germany,Female,29,4,115046.74,4,1,0,119346.88,1,1,2,DIAMOND,282,0,False,True,False,0,116,1.0373683133627831,10904,841,141376,16,26-35,Poor,1,0,1,Regular,-2.840487919807966,-0.9460792562201749,-0.35020386455104724,0.6180189508533646,0.33485372981012046,-1.436457045168594,-0.6159757916729434,-0.6080225056202155,-1.8315864325020317,-0.8313461532515714,-2.317680248623567,-0.5816479042412513,-0.7877756916800193,0.051999999999999935,0.14864864864864863,0.4,0.4585397202505608,0.5967334880481086,0.18501702610669693,0.1318181818181818,5.18656554110439e-06,0.03210187703123965,0.0635135135135135,0.031460000000000016,0.16,0.0
9,15792365,He,501,France,Male,44,4,142051.07,2,0,1,74940.5,0,0,3,GOLD,251,1,True,False,False,1,176,0.5275565502142981,22044,1936,251001,16,36-45,Poor,1,4,0,Regular,-1.5471409559338818,0.48422460429935044,-0.35020386455104724,1.0508202865849028,-0.4373288460949081,-1.573677681127372,-0.1469824981805242,-0.6080311637364328,-0.4158043945962207,0.32994497474715534,-1.4450256425430839,-0.5816479042412513,0.452278917237409,0.30199999999999994,0.35135135135135137,0.4,0.5661703921301275,0.37468038197647874,0.14982973893303062,0.19999999999999998,2.6374108759457937e-06,0.2168203223452942,0.198034398034398,0.21416833333333335,0.16,0.4
10,15592389,H?,684,France,Male,27,2,134603.88,1,1,1,71725.73,0,0,3,GOLD,342,1,True,False,False,1,54,0.5328612900215801,18468,729,467856,4,26-35,Good,1,2,0,New,0.3463189991777775,-1.1367864376227783,-1.0417596792253108,0.9314633619936777,-0.49323048409247083,-1.1708687175064434,-1.1006021949484432,-0.6080310736462131,-0.8702780541609586,-0.9501266156587471,0.2812185043356683,-0.9806745936361185,-0.16774838722130514,0.668,0.12162162162162166,0.2,0.5364882610306042,0.3586049967771922,0.2531214528944381,0.06136363636363636,2.6639355723232814e-06,0.15752470650659944,0.049754299754299756,0.5755933333333334,0.04,0.2
